"seqn","hoq011","hod030","hoq040","hod050","hod060","hoq065","hoq070","hoq080","hoq230","hoq240","hoq250","hoq260a","hoq260b","hoq260c","hoq270","hoq280a","hoq280b","hoq280c"
31127,4,1,99,4,1,2,2,2,2,2,1,1,2,NA,NA,NA,NA,NA
31128,2,NA,77,7,3,1,1,2,1,1,2,NA,NA,NA,2,NA,NA,NA
31129,1,NA,3,10,2,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31130,4,7,2,1,3,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31131,2,NA,3,8,4,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31132,2,NA,3,8,5,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31133,2,NA,1,10,4,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31134,2,NA,6,7,5,1,2,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31135,3,NA,3,8,3,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31136,4,5,99,5,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31137,2,NA,4,7,1,2,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA
31138,2,NA,99,7,1,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31139,3,NA,6,8,2,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31140,2,NA,2,11,5,1,1,1,2,2,1,NA,NA,3,NA,NA,NA,NA
31141,2,NA,6,7,5,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31142,2,NA,3,6,5,1,1,2,1,2,1,1,NA,NA,NA,NA,NA,NA
31143,2,NA,6,7,5,1,1,1,2,2,1,NA,2,NA,NA,NA,NA,NA
31144,2,NA,99,11,3,1,1,1,2,2,1,NA,2,NA,NA,NA,NA,NA
31145,2,NA,5,7,1,2,1,2,2,2,2,NA,NA,NA,1,1,NA,NA
31146,3,NA,6,8,3,1,1,2,1,2,1,NA,2,NA,NA,NA,NA,NA
31147,3,NA,99,6,2,2,1,2,1,1,2,NA,NA,NA,2,NA,NA,NA
31148,2,NA,99,5,1,2,1,2,2,2,1,1,NA,3,NA,NA,NA,NA
31149,2,NA,5,6,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31150,2,NA,1,1,5,1,2,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31151,2,NA,1,8,3,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31152,1,NA,3,4,2,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA
31153,3,NA,3,4,5,2,1,2,2,2,1,1,2,NA,NA,NA,NA,NA
31154,4,6,3,4,5,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31155,4,1,3,4,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31156,2,NA,2,5,5,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA
31157,4,5,4,3,3,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31158,2,NA,2,5,2,1,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31159,4,7,3,5,5,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31160,2,NA,2,6,5,1,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31161,2,NA,1,7,3,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31162,2,NA,6,6,5,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31163,2,NA,2,8,2,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31164,2,NA,2,6,5,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA
31165,2,NA,4,7,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA
31166,2,NA,4,8,3,1,1,2,1,2,1,1,NA,NA,NA,NA,NA,NA
31167,2,NA,2,12,3,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA
31168,2,NA,1,9,3,1,1,1,2,2,1,1,NA,3,NA,NA,NA,NA
31169,2,NA,4,6,5,1,1,2,2,2,2,NA,NA,NA,1,1,2,NA
31170,1,NA,3,9,3,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA
31171,2,NA,3,7,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31172,4,4,2,5,1,2,1,2,2,1,1,NA,NA,3,NA,NA,NA,NA
31173,1,NA,99,5,3,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31174,2,NA,4,5,2,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31175,2,NA,6,12,4,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31176,4,3,2,6,3,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31177,2,NA,4,6,5,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31178,2,NA,6,6,3,1,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31179,2,NA,4,4,3,2,1,2,1,1,2,NA,NA,NA,2,NA,NA,NA
31180,2,NA,99,6,5,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA
31181,2,NA,99,6,3,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31182,4,1,99,4,1,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31183,4,6,1,4,3,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31184,4,3,2,6,3,2,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31185,3,NA,1,8,2,2,2,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31186,4,3,99,4,2,2,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31187,2,NA,4,5,2,1,1,2,1,2,1,1,2,NA,NA,NA,NA,NA
31188,2,NA,6,11,3,1,1,2,2,2,1,1,2,NA,NA,NA,NA,NA
31189,3,NA,2,6,4,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31190,2,NA,1,8,2,1,1,2,2,1,1,1,2,NA,NA,NA,NA,NA
31191,4,4,3,5,2,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31192,3,NA,99,5,4,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31193,4,4,4,4,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31194,2,NA,1,10,4,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA
31195,2,NA,3,11,5,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA
31196,4,5,99,5,3,2,1,2,1,1,2,NA,NA,NA,2,NA,NA,NA
31197,2,NA,99,4,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31198,4,3,6,5,2,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31199,2,NA,1,3,2,2,2,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31200,2,NA,6,7,5,1,1,2,2,2,1,NA,2,NA,NA,NA,NA,NA
31201,4,5,99,4,1,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31202,2,NA,2,9,3,1,2,1,2,2,1,NA,2,NA,NA,NA,NA,NA
31203,2,NA,99,9,2,1,1,2,2,1,2,NA,NA,NA,2,NA,NA,NA
31204,4,1,2,4,3,2,1,1,2,2,2,NA,NA,NA,2,NA,NA,NA
31205,2,NA,1,7,3,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA
31206,3,NA,3,4,5,2,1,2,2,2,1,1,2,NA,NA,NA,NA,NA
31207,6,NA,1,1,1,3,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31208,2,NA,5,5,2,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA
31209,4,5,99,5,3,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA
31210,1,NA,2,4,3,1,1,1,2,2,1,NA,NA,3,NA,NA,NA,NA
31211,2,NA,4,5,3,1,2,2,1,1,2,NA,NA,NA,2,NA,NA,NA
31212,2,NA,99,5,2,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA
