"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq244","ind247"
41475,2,1,1,2,2,2,2,1,2,5,1.75,2,2,1
41476,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
41477,2,2,1,2,2,2,2,1,2,4,1.29,1,2,1
41478,1,2,2,2,2,2,1,2,2,3,0.45,1,2,1
41479,1,2,2,2,2,2,2,2,2,7,1.69,2,NA,NA
41480,1,2,2,2,2,2,2,2,2,3,0.68,1,2,1
41481,1,2,2,2,2,2,2,2,2,7,1.64,2,2,1
41482,1,2,1,2,2,2,2,2,1,8,1.9,3,NA,NA
41483,2,2,1,2,1,2,2,2,1,5,1.23,1,1,NA
41484,1,2,2,1,2,1,2,2,2,2,0.36,1,2,1
41485,1,2,2,2,2,2,2,2,2,8,2.03,3,2,1
41486,1,1,1,2,1,2,2,2,2,6,1.54,2,1,NA
41487,1,2,2,2,2,2,2,2,2,9,5,3,NA,NA
41488,1,2,2,2,2,2,2,2,1,4,1.4,2,2,1
41489,1,2,2,2,2,2,2,1,2,7,2.45,3,NA,NA
41490,1,1,1,2,1,2,2,1,2,5,1.75,2,NA,NA
41491,7,2,2,2,2,2,2,2,2,77,NA,1,2,4
41492,2,2,1,2,2,2,2,1,2,3,1.05,1,1,NA
41493,1,2,1,2,2,2,2,2,2,5,1.71,2,2,1
41494,1,2,2,2,2,2,2,2,2,6,1.09,1,2,1
41495,1,2,2,2,2,2,2,1,1,10,5,3,NA,NA
41496,2,2,1,2,2,2,2,2,2,2,0.49,1,2,1
41497,1,2,2,2,2,2,2,2,2,11,4.89,3,NA,NA
41498,1,2,1,2,2,2,2,2,2,11,5,3,2,1
41499,1,2,2,2,2,2,2,2,2,4,0.74,1,2,1
41500,1,2,2,2,2,2,2,2,2,5,1.23,1,2,1
41501,1,2,1,2,2,2,2,1,2,7,4.11,3,NA,NA
41502,1,2,2,2,2,2,2,2,2,8,3.07,3,NA,NA
41503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41504,1,2,2,1,2,2,2,1,2,7,2.63,3,NA,NA
41505,1,1,2,2,2,2,2,2,2,7,1.21,1,2,1
41506,2,2,1,2,2,2,2,1,2,9,4.38,3,NA,NA
41507,1,1,2,2,2,2,2,1,2,7,1.27,1,NA,NA
41508,1,2,2,2,2,2,2,2,2,3,0.45,1,2,4
41509,1,1,2,2,2,2,2,2,2,5,1.16,1,2,1
41510,1,2,2,2,2,2,2,2,2,5,1.4,2,2,1
41511,1,2,2,2,2,2,2,2,2,11,3.98,3,NA,NA
41512,2,2,1,2,1,1,2,2,2,4,1.4,2,2,1
41513,2,2,2,2,2,1,2,1,2,4,0.63,1,1,NA
41514,2,2,1,2,1,2,2,2,2,7,4.04,3,NA,NA
41515,1,2,2,2,2,2,2,2,1,3,0.84,1,2,2
41516,2,2,1,2,1,2,2,2,1,5,1.69,2,2,1
41517,1,2,2,2,2,2,2,2,2,7,2.39,3,NA,NA
41518,1,2,2,2,2,2,2,2,2,11,5,3,NA,NA
41519,1,2,1,2,1,2,2,2,2,6,1.54,2,NA,NA
41520,1,2,2,2,2,2,2,2,2,7,1.07,1,NA,NA
41521,1,1,2,2,2,2,2,1,1,12,5,3,NA,NA
41522,1,2,2,2,2,2,2,1,2,7,2.57,3,1,NA
41523,1,2,2,2,2,2,2,2,1,7,1.98,3,NA,NA
41524,2,2,1,2,2,2,2,1,2,6,2.19,3,NA,NA
41525,1,2,2,2,2,2,2,2,2,7,2.39,3,NA,NA
41526,1,2,2,2,2,2,2,1,2,5,2.31,3,NA,NA
41527,1,1,2,2,2,2,2,2,2,3,0.7,1,1,NA
41528,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA
41529,1,2,2,2,2,2,2,1,2,8,2.32,3,NA,NA
41530,1,1,2,2,2,2,2,2,2,9,2,3,NA,NA
41531,1,2,2,2,2,2,2,2,2,7,1.69,2,2,1
41532,1,2,2,2,2,2,2,2,2,4,0.77,1,2,1
41533,1,2,2,2,2,2,2,2,2,10,2.78,3,NA,NA
41534,1,2,2,2,2,2,2,2,2,4,1.62,2,2,1
41535,1,2,2,2,2,2,2,2,2,7,1.27,1,2,1
41536,1,1,2,2,2,2,2,1,2,12,5,3,NA,NA
41537,1,1,2,2,2,2,2,2,1,5,1.16,1,2,1
41538,1,2,2,2,2,2,2,2,2,3,1.1,1,NA,NA
41539,1,2,2,2,2,2,2,2,2,7,3.58,3,NA,NA
41540,1,2,2,2,2,2,2,2,2,3,0.52,1,2,1
41541,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
41542,1,2,1,1,2,2,2,1,2,2,0.45,1,1,NA
41543,1,2,2,2,2,2,2,2,2,6,1.3,1,NA,NA
41544,1,2,2,2,2,2,2,1,2,7,2.1,3,NA,NA
41545,1,2,2,2,2,2,2,2,2,7,1.27,1,2,1
41546,1,2,2,2,2,2,2,1,1,10,4.19,3,NA,NA
41547,1,2,2,2,2,2,2,1,2,9,4.38,3,NA,NA
41548,1,2,2,2,2,2,2,2,2,3,0.7,1,2,2
41549,2,2,2,2,2,2,2,2,2,2,0.46,1,2,1
41550,1,2,2,1,2,2,2,2,1,3,0.68,1,2,1
41551,1,1,2,2,2,2,2,2,2,11,4.43,3,NA,NA
41552,2,2,1,2,2,1,2,2,2,2,0.77,1,2,1
41553,1,1,2,2,2,2,2,2,2,11,3.04,3,NA,NA
41554,1,1,2,2,2,2,2,1,2,12,3.12,3,NA,NA
41555,2,2,1,2,2,2,2,2,2,2,0.61,1,2,1
41556,1,1,2,2,2,2,2,2,1,6,1.24,1,2,1
41557,2,2,1,2,2,2,2,2,2,3,0.92,1,2,1
41558,1,2,2,2,2,2,2,2,2,3,1.12,1,2,1
41559,1,2,2,2,2,2,2,1,2,99,NA,3,NA,NA
41560,1,2,2,1,2,2,2,2,2,5,0.96,1,2,1
41561,1,2,2,2,2,2,2,1,2,9,2.49,3,NA,NA
41562,1,1,1,1,1,1,1,1,2,10,5,3,NA,NA
41563,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
41564,1,2,2,2,2,2,1,2,1,7,0.63,1,2,1
41565,2,2,1,2,2,2,2,2,2,4,1.4,2,2,1
41566,1,2,2,2,2,2,2,2,2,99,NA,1,2,1
41567,1,1,2,2,1,2,2,2,2,6,2.45,3,NA,NA
41568,1,2,2,2,2,2,2,2,2,2,0.23,1,2,1
41569,2,2,1,1,2,1,2,2,2,3,1.03,1,2,1
41570,2,2,1,2,2,2,2,2,2,2,0.76,1,2,1
41571,1,2,2,2,2,2,2,2,2,4,1.05,1,2,1
41572,1,2,2,2,2,2,2,1,2,4,1.31,2,1,NA
41573,1,2,2,2,2,2,2,2,2,8,1.94,3,2,3
41574,1,2,1,2,2,2,2,1,2,12,5,3,NA,NA
41575,1,1,1,2,2,2,2,2,2,11,3.87,3,NA,NA
41576,1,2,1,2,1,2,2,2,2,6,2.19,3,NA,NA
41577,1,2,2,2,2,2,2,2,2,10,2.9,3,NA,NA
41578,2,2,1,1,1,2,2,1,2,12,5,3,NA,NA
41579,2,2,1,2,2,2,2,1,2,6,1.8,2,NA,NA
41580,2,2,2,2,2,2,2,2,2,2,0.34,1,2,1
41581,1,2,2,2,1,2,2,2,2,10,4.05,3,9,NA
41582,1,2,2,2,2,2,1,2,1,77,NA,1,2,1
41583,2,2,2,2,2,2,1,2,2,NA,NA,NA,NA,NA
41584,1,2,2,2,2,2,2,2,2,5,1.2,1,2,1
41585,1,2,2,2,2,2,2,2,2,99,NA,1,2,1
41586,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
41587,2,2,2,2,2,2,1,2,1,3,0.86,1,2,1
41588,1,2,2,2,2,2,2,1,2,3,0.42,1,2,1
41589,2,2,1,2,2,2,2,2,2,4,1.4,2,2,99
41590,1,1,2,2,2,2,2,2,2,4,1.12,1,NA,NA
41591,1,2,2,1,2,2,2,2,1,99,NA,1,2,99
41592,1,2,2,2,2,2,2,2,2,3,0.84,1,2,1
