"seqn","ocd150","ocq180","ocq210","ocd231","ocd241","ocq260","ocq265","ocd270","ocq290g","ocq290q","ocq380","ocd390g","ocd391","ocd392","ocd395","ocq510","ocq520","ocq530","ocq540","ocq550","ocq560","ocq570","ocq580"
41475,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,21,72,2,NA,1,16,2,NA,1,7
41477,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,19,480,1,40,2,NA,2,NA,2,NA
41479,1,50,NA,8,22,1,4,24,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41481,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,16,8,2,NA,2,NA,2,NA,2,NA
41482,1,40,NA,4,19,1,1,180,2,NA,NA,2,NA,NA,NA,1,31,2,NA,2,NA,1,31
41483,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,21,360,2,NA,2,NA,1,30,1,30
41485,1,50,NA,6,21,1,2,120,2,NA,NA,2,NA,NA,NA,2,NA,1,8,1,8,2,NA
41486,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41487,1,40,NA,11,3,1,1,12,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41489,1,40,NA,21,2,4,1,204,2,NA,NA,2,NA,NA,NA,2,NA,1,3,2,NA,2,NA
41490,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,16,396,2,NA,2,NA,2,NA,2,NA
41492,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,19,21,180,2,NA,2,NA,2,NA,1,7
41493,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,17,180,2,NA,2,NA,1,15,2,NA
41494,1,56,NA,6,22,1,5,60,2,NA,NA,2,NA,NA,NA,1,0,2,NA,2,NA,2,NA
41495,1,52,NA,7,19,1,2,252,1,1,NA,2,NA,NA,NA,1,6,1,21,1,2,1,1
41496,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41498,1,40,NA,12,14,1,1,336,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,28
41499,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41501,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,22,528,2,NA,2,NA,2,NA,2,NA
41502,1,40,NA,7,22,1,1,120,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41503,1,45,NA,6,21,1,3,36,2,NA,NA,2,NA,NA,NA,2,NA,1,3,2,NA,2,NA
41504,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,8,16,360,2,NA,2,NA,2,NA,2,NA
41506,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,10,17,420,2,NA,2,NA,2,NA,2,NA
41509,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,5,21,168,2,NA,2,NA,2,NA,1,7
41510,1,45,NA,18,14,1,5,3,1,1,NA,1,18,14,180,2,NA,1,15,2,NA,1,15
41511,1,56,NA,4,19,1,1,18,2,NA,NA,2,NA,NA,NA,1,14,1,14,1,5,1,7
41512,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,10,17,24,NA,NA,NA,NA,NA,NA,NA,NA
41513,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41514,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,8,456,1,38,2,NA,2,NA,2,NA
41516,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,18,13,120,1,2,1,18,1,18,1,40
41518,1,50,NA,15,1,3,1,288,2,NA,NA,1,15,8,252,2,NA,2,NA,2,NA,1,1
41519,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,22,180,2,NA,2,NA,2,NA,2,NA
41522,1,25,2,13,17,1,1,5,2,NA,NA,1,7,16,432,2,NA,2,NA,2,NA,2,NA
41523,1,54,NA,5,1,1,1,30,2,NA,NA,1,15,20,72,1,6,2,NA,1,2,1,6
41524,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,5,156,NA,NA,NA,NA,NA,NA,NA,NA
41525,1,54,NA,5,21,1,1,144,1,8,NA,2,NA,NA,NA,2,NA,2,NA,1,12,1,12
41526,1,40,NA,8,17,1,1,168,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41527,1,40,NA,4,1,5,5,96,1,2,NA,2,NA,NA,NA,1,8,1,8,2,NA,2,NA
41528,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,9,22,240,1,15,1,20,1,40,1,20
41529,1,50,NA,15,8,3,5,36,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41530,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41531,1,50,NA,17,13,1,4,14,1,1,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41534,1,28,1,16,15,3,4,9,1,3,NA,1,17,15,120,2,NA,1,1,1,2,1,2
41536,1,47,NA,13,17,1,1,84,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41537,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,18,13,1,2,NA,2,NA,2,NA,2,NA
41538,1,34,1,18,13,1,4,36,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,3
41539,1,50,NA,17,1,1,1,144,2,NA,NA,2,NA,NA,NA,1,2,2,NA,2,NA,2,NA
41540,1,10,1,7,21,1,1,3,1,1,NA,1,14,14,6,1,0,1,0,1,0,1,0
41541,1,45,NA,11,1,1,1,120,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
41542,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,22,168,2,NA,2,NA,1,14,2,NA
41544,1,45,NA,6,1,1,1,60,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
