"seqn","cbd010","cbq020","cbq030","cbq040","cbq050","cbq060","cbd070","cbd090","cbd110","cbd120","cbd130","cbq140","cbd150","cbd160","cbd170","cbd180","cbq190"
51624,2,2,2,2,1,1,857,214,0,50,230,2,10,4,60,3,3
51625,2,1,4,2,5,4,600,0,0,100,0,2,15,7,120,7,7
51626,1,2,1,4,5,2,300,0,130,20,0,3,20,2,180,0,NA
51627,1,1,1,1,5,1,777777,777777,777777,777777,777777,4,10,4,120,7,4
51628,2,1,1,3,5,2,275,0,0,0,0,3,5,3,90,3,3
51629,2,1,2,2,5,1,400,0,30,50,24,4,10,7,120,4,4
51630,1,1,1,4,5,4,400,20,0,100,30,3,5,3,60,5,3
51631,2,1,1,2,5,1,1000,0,999999,200,50,2,10,4,60,14,11
51632,2,1,1,3,5,5,642,171,30,111,0,2,30,7,120,7,7
51633,1,1,2,5,1,5,250,20,50,20,0,4,30,7,60,21,21
51634,1,1,1,1,5,1,260,0,0,120,20,3,15,7,120,1,1
51635,2,1,3,1,1,5,214,0,8,20,0,2,15,2,60,666,NA
51636,2,2,2,3,5,1,200,0,40,150,40,3,5,3,120,2,2
51637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51638,2,1,1,4,5,1,1000,128,0,40,0,2,5,7,120,7,7
51639,2,1,1,4,5,2,400,0,0,100,60,1,30,5,120,7,5
51640,2,3,3,3,5,2,300,0,100,100,0,2,45,7,120,7,7
51641,2,1,1,1,1,1,300,0,300,200,100,2,10,7,120,7,7
51642,2,1,1,3,5,3,557,0,0,0,0,2,20,7,90,7,7
51643,2,3,3,2,5,2,250,30,100,75,0,3,15,3,60,0,NA
51644,2,1,1,4,2,4,200,0,0,40,0,4,7,6,60,7,6
51645,2,1,1,4,5,2,857,107,0,428,0,1,40,7,30,999,NA
51646,2,1,1,1,1,2,300,0,0,200,0,3,45,5,120,14,12
51647,2,1,1,2,1,2,342,42,85,857,171,3,10,3,45,3,3
51648,2,1,1,3,5,5,50,0,0,0,0,3,35,0,NA,666,NA
51649,2,2,1,3,2,1,300,0,50,300,40,3,20,7,40,6,6
51650,2,2,2,3,5,5,800,75,0,0,0,2,5,7,60,2,2
51651,2,1,1,3,2,1,200,0,750,20,25,1,15,4,60,2,2
51652,2,3,3,2,2,1,270,0,0,150,0,1,5,3,120,4,2
51653,2,3,3,1,5,3,200,50,0,200,50,3,5,3,30,666,NA
51654,2,1,1,1,1,1,257,42,50,60,25,2,10,5,90,20,18
51655,2,2,1,3,1,1,300,0,50,30,0,3,10,7,90,7,7
51656,2,1,1,1,1,3,500,50,0,428,60,2,10,4,60,6,4
51657,2,1,3,1,5,3,600,0,20,40,0,2,20,7,120,7,7
51658,2,1,2,2,1,3,400,0,0,0,0,2,15,7,90,7,7
51659,2,1,1,2,1,3,1071,75,110,350,0,2,25,7,120,7,7
51660,2,1,1,1,5,5,535,0,0,0,0,1,15,7,90,7,7
51661,2,1,1,3,5,1,400,0,120,60,0,2,10,6,120,7,6
51662,2,1,1,2,2,4,450,60,20,80,0,4,30,5,60,5,5
51663,2,1,1,1,3,1,400,0,30,600,60,4,30,5,60,2,0
51664,2,1,1,1,4,1,250,0,100,428,0,3,10,5,60,10,10
51665,2,1,1,2,5,2,200,0,200,50,30,3,10,7,120,7,7
51666,1,1,1,1,4,3,650,0,200,200,0,3,5,6,60,10,10
51667,2,1,2,5,5,4,1200,0,0,0,0,1,5,7,120,7,7
51668,2,3,2,1,5,2,300,0,0,50,30,4,10,5,120,3,3
51669,2,1,1,4,5,5,140,0,0,0,0,4,15,7,180,3,3
51670,2,1,2,3,1,2,428,42,0,85,0,3,10,5,20,666,NA
51671,2,1,1,3,5,3,500,0,0,0,0,4,15,7,60,7,7
51672,2,1,1,1,5,1,300,0,0,50,20,3,15,5,60,10,10
51673,2,1,1,1,5,1,600,100,0,60,0,3,10,6,45,3,3
51674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51675,2,1,1,1,5,1,300,100,0,75,0,2,15,7,45,7,7
51676,2,2,2,3,5,3,300,90,0,999999,0,4,15,5,60,0,NA
51677,2,1,1,1,5,1,400,60,60,120,50,3,5,4,60,4,4
51678,2,1,1,2,5,1,250,0,80,300,0,2,45,3,120,3,3
51679,2,3,1,1,3,1,1200,0,200,100,0,2,15,7,120,7,7
51680,2,1,2,3,4,3,100,30,15,30,10,4,20,6,180,666,NA
51681,2,1,2,3,1,1,428,0,70,100,30,3,5,7,60,7,7
51682,1,1,2,3,1,3,800,0,0,150,0,2,45,7,60,7,7
51683,2,1,2,5,5,5,20,0,150,0,0,4,30,7,120,7,7
51684,2,1,1,1,1,4,471,0,0,30,35,2,10,7,120,4,4
51685,2,1,1,1,1,1,214,0,0,30,0,2,30,7,60,7,7
51686,2,1,3,1,5,3,100,0,400,80,0,3,20,7,60,14,14
51687,2,1,2,2,1,3,642,0,0,75,0,2,15,6,120,6,6
51688,2,1,2,2,1,1,300,0,50,100,0,3,40,4,90,0,NA
51689,1,1,1,3,5,3,350,0,0,150,40,4,15,5,90,7,7
51690,2,1,1,4,1,1,428,0,0,85,0,1,30,3,90,2,2
51691,2,1,2,2,1,4,642,214,0,100,0,2,15,6,40,7,6
51692,1,3,3,4,1,4,214,0,42,857,0,3,5,0,NA,0,NA
51693,2,1,1,3,1,4,999999,999999,0,999999,999999,2,25,2,99999,1,1
51694,2,1,4,1,5,1,300,0,0,100,0,2,15,4,90,12,5
51695,1,1,1,1,5,3,500,100,100,200,0,3,2,3,90,3,3
51696,2,1,3,5,2,4,385,0,0,42,0,2,15,3,60,666,NA
51697,2,3,1,4,3,1,200,0,60,200,150,3,10,1,60,1,1
51698,2,1,1,3,5,5,642,171,30,111,0,2,30,7,120,7,7
51699,2,1,1,3,5,1,200,0,0,50,0,2,20,7,180,3,3
51700,2,1,1,1,1,3,428,85,85,0,17,3,30,7,60,7,7
51701,2,1,3,1,5,3,600,0,20,40,0,2,20,7,120,7,7
51702,2,1,1,1,1,1,600,100,100,0,50,3,20,7,120,7,7
51703,2,1,2,3,5,2,535,40,0,0,0,1,20,7,90,7,7
51704,2,1,1,5,5,2,350,0,0,0,0,2,10,7,60,7,7
51705,2,1,1,1,5,3,400,0,0,200,0,1,15,7,60,7,7
51706,1,1,1,1,5,1,500,0,100,428,40,3,2,5,120,3,3
51707,2,1,1,1,5,5,200,0,42,40,0,4,30,7,30,0,NA
51708,1,3,1,2,5,1,900,0,0,70,0,2,15,6,180,7,6
51709,2,2,2,3,5,4,500,0,0,200,0,2,15,3,60,4,2
51710,2,3,4,3,5,4,280,30,10,170,25,2,10,3,60,3,3
51711,2,1,1,5,5,3,300,100,0,0,0,2,5,7,60,0,NA
51712,2,2,2,2,5,3,999999,999999,0,30,0,5,10,7,60,21,20
51713,2,1,1,1,5,1,428,50,0,125,0,2,15,7,60,7,7
51714,2,1,1,4,5,3,250,0,0,300,0,3,2,4,60,666,NA
51715,2,1,1,4,1,1,900,325,0,642,0,3,13,7,90,7,7
