"seqn","hoq040","hod050","hod060","hoq065","hoq070","hoq080"
51624,1,6,4,1,1,2
51625,1,9,2,1,1,2
51626,1,5,2,1,1,2
51627,99,6,2,2,1,2
51628,99,6,3,2,1,2
51629,6,4,1,2,1,2
51630,4,5,3,2,1,2
51631,99,5,1,2,9,2
51632,2,7,3,1,1,2
51633,1,4,5,1,1,1
51634,1,5,4,1,1,1
51635,4,5,5,1,1,1
51636,6,7,3,1,1,2
51637,NA,NA,NA,NA,NA,NA
51638,1,6,2,2,1,2
51639,99,6,3,2,1,2
51640,3,5,2,3,1,2
51641,1,6,2,2,1,2
51642,99,4,4,2,1,2
51643,1,6,3,2,1,2
51644,6,9,5,1,3,1
51645,2,5,5,1,1,2
51646,6,7,5,1,1,1
51647,6,6,4,1,2,2
51648,6,4,2,3,1,2
51649,99,7,1,2,1,2
51650,99,5,3,2,1,2
51651,4,7,4,2,1,1
51652,99,5,1,2,1,2
51653,99,4,1,2,1,2
51654,3,5,5,1,1,1
51655,3,5,1,2,1,2
51656,1,10,1,2,1,2
51657,4,6,1,2,1,2
51658,3,5,3,2,1,2
51659,1,10,4,1,1,2
51660,6,3,3,2,1,2
51661,99,6,5,1,1,2
51662,1,9,4,1,9,2
51663,99,4,2,2,1,2
51664,3,9,5,1,1,2
51665,1,5,3,2,1,2
51666,2,10,2,2,1,1
51667,99,4,4,2,1,2
51668,99,5,5,2,1,2
51669,99,4,3,2,1,2
51670,6,6,2,2,1,2
51671,6,3,1,2,1,2
51672,1,5,4,1,1,2
51673,2,7,2,1,2,1
51674,NA,NA,NA,NA,NA,NA
51675,5,5,5,1,1,2
51676,6,10,5,1,1,2
51677,6,11,3,1,1,1
51678,1,5,5,1,1,2
51679,1,7,5,1,1,2
51680,99,3,3,2,1,2
51681,2,7,1,1,1,2
51682,3,13,5,1,1,1
51683,1,7,3,1,2,1
51684,3,6,2,1,1,2
51685,3,10,4,1,1,2
51686,99,5,1,2,1,1
51687,1,5,4,1,1,2
51688,5,7,4,3,1,2
51689,5,6,4,1,1,2
51690,5,4,3,2,1,1
51691,1,9,4,1,1,1
51692,99,3,3,2,1,2
51693,1,5,1,2,1,2
51694,6,6,3,1,1,2
51695,1,5,4,1,1,2
51696,3,4,2,2,1,2
51697,99,4,1,2,1,2
51698,2,7,3,1,1,2
51699,99,2,1,2,1,2
51700,3,3,5,2,1,1
51701,4,6,1,2,1,2
51702,5,10,3,2,2,1
51703,5,4,3,2,1,2
51704,99,9,4,1,1,2
51705,99,6,2,2,1,2
51706,2,5,5,2,1,2
51707,1,4,3,2,1,1
51708,2,9,4,1,1,2
51709,4,6,3,1,1,2
51710,3,4,3,1,1,1
51711,99,4,5,2,1,2
51712,99,4,5,1,1,2
51713,99,4,2,2,1,2
51714,3,5,4,1,1,1
51715,1,10,5,1,2,2
51716,99,5,3,2,1,2
51717,4,7,2,1,1,2
51718,5,5,5,1,1,2
51719,1,13,5,1,1,2
51720,1,8,3,1,2,2
51721,1,5,3,2,1,2
51722,1,8,5,1,1,1
51723,3,3,1,2,1,1
51724,1,9,4,1,1,1
51725,1,6,2,1,1,2
51726,1,8,4,1,1,2
51727,99,5,1,2,1,2
51728,99,6,5,1,1,2
51729,1,6,3,1,1,1
51730,99,3,3,2,1,2
51731,99,4,2,2,1,2
51732,6,5,1,2,2,1
51733,99,4,1,1,1,2
51734,3,6,5,1,2,1
51735,2,5,5,1,1,2
51736,2,4,5,1,1,2
51737,99,6,5,1,1,2
51738,1,6,2,2,1,2
51739,3,4,2,2,1,2
51740,99,5,1,2,1,2
51741,2,4,3,2,1,2
51742,2,5,5,1,2,2
51743,6,5,3,1,1,2
51744,4,5,5,1,1,2
51745,1,8,3,1,1,1
51746,99,4,3,2,1,2
51747,3,5,1,1,1,2
51748,99,1,1,2,1,2
51749,4,6,5,1,1,1
51750,1,6,3,1,1,2
51751,2,5,2,2,1,2
51752,6,4,5,1,1,2
51753,3,7,2,1,1,1
51754,2,7,2,1,1,1
51755,1,5,1,1,1,2
51756,6,8,5,1,1,2
51757,6,5,3,2,1,2
51758,1,7,3,1,1,2
51759,2,5,3,1,1,2
51760,99,4,3,2,1,2
51761,99,3,5,2,1,2
51762,99,6,2,2,1,1
51763,99,7,1,2,1,2
51764,3,4,1,2,1,2
51765,1,8,4,1,1,2
51766,1,6,4,1,2,2
51767,3,9,4,1,1,2
51768,2,12,5,1,1,1
51769,4,7,5,1,2,1
51770,99,6,5,1,1,1
51771,3,7,5,1,2,1
51772,2,7,4,2,1,2
51773,6,12,2,1,2,1
51774,5,6,3,2,1,2
51775,99,3,1,2,1,2
51776,5,4,1,2,1,2
51777,5,6,1,3,1,2
51778,4,5,5,1,1,2
51779,99,9,2,1,1,2
51780,2,7,5,1,1,2
51781,1,7,2,1,1,1
51782,99,5,1,2,1,2
51783,99,6,1,2,1,2
51784,6,11,5,1,1,2
51785,1,6,5,1,1,2
51786,1,6,2,1,1,2
51787,1,8,5,1,1,2
51788,1,8,4,1,1,1
51789,99,6,2,3,1,1
51790,3,6,3,1,2,2
51791,99,4,2,2,1,1
51792,2,9,4,1,1,2
51793,2,4,4,1,1,1
51794,6,4,3,2,1,2
51795,99,7,2,1,1,2
51796,2,6,4,1,1,1
51797,4,9,3,1,1,1
51798,3,6,5,1,1,2
51799,1,4,4,2,1,2
51800,2,6,2,2,1,1
51801,5,6,2,3,1,2
51802,99,2,3,2,9,2
51803,99,7,3,2,1,2
51804,6,7,5,1,2,2
51805,99,4,2,2,1,2
51806,6,3,5,2,1,2
51807,99,5,2,1,1,1
51808,99,5,1,2,1,2
51809,5,4,1,2,1,2
51810,1,11,4,1,1,1
51811,6,4,3,2,1,2
51812,2,5,4,1,1,2
51813,1,13,4,1,1,2
51814,3,5,5,1,1,2
51815,1,7,3,1,1,2
51816,2,4,3,2,1,2
51817,3,5,5,1,1,2
51818,4,7,5,1,1,2
51819,5,6,5,1,1,1
51820,5,8,5,1,1,2
51821,5,5,5,2,1,2
51822,2,6,1,2,1,2
51823,5,8,5,1,1,1
51824,99,5,4,1,1,2
51825,99,8,1,2,1,2
51826,5,7,3,2,1,2
51827,6,4,1,2,1,2
51828,6,8,5,1,1,2
51829,1,7,3,1,1,2
51830,1,10,4,1,2,1
51831,1,5,1,3,1,2
51832,1,9,2,1,1,2
51833,99,6,4,1,1,2
51834,1,4,3,1,1,2
51835,99,4,3,2,1,2
51836,2,7,5,1,1,2
51837,99,7,3,1,1,2
51838,3,5,5,1,1,2
51839,6,4,4,2,1,1
51840,2,5,4,1,1,1
51841,4,6,3,1,1,2
51842,99,4,1,2,9,2
51843,4,6,3,1,1,2
51844,99,5,4,2,1,2
51845,2,6,4,1,2,2
51846,6,12,5,1,1,2
51847,2,5,2,2,1,2
51848,4,7,1,1,1,2
51849,1,7,2,1,1,2
51850,6,5,1,2,1,2
51851,6,4,3,1,1,2
51852,99,5,3,2,1,2
51853,6,4,3,2,1,2
51854,99,4,4,2,1,2
51855,99,6,1,3,1,2
51856,2,11,2,1,1,2
51857,1,7,4,1,1,2
51858,6,4,2,2,1,2
51859,4,7,4,2,1,1
51860,99,7,1,2,1,2
51861,6,7,5,2,2,1
51862,1,6,4,1,1,2
51863,6,6,5,1,1,2
51864,1,5,3,1,1,2
51865,1,7,3,1,1,2
51866,3,6,3,1,2,1
51867,5,4,3,2,1,1
51868,99,5,1,2,1,1
51869,1,10,3,1,1,2
51870,1,4,1,2,3,2
51871,99,4,99,2,1,2
51872,99,6,5,1,1,1
51873,1,7,3,1,1,2
51874,5,6,5,1,1,1
51875,99,6,5,1,1,2
51876,77,4,4,1,1,2
51877,2,7,5,1,1,2
51878,2,4,3,2,1,1
51879,99,5,1,2,1,2
51880,1,5,3,1,1,1
51881,99,4,1,2,1,2
51882,4,7,4,1,1,1
51883,99,6,5,1,1,2
51884,2,5,3,2,1,2
51885,2,8,1,1,1,2
51886,2,4,2,3,1,2
51887,1,8,5,1,2,2
51888,2,8,5,1,2,1
51889,99,7,3,1,1,2
51890,6,7,1,1,2,1
51891,4,6,5,1,1,2
51892,99,4,2,2,1,2
51893,6,11,5,1,1,2
51894,2,7,4,1,1,1
51895,2,7,5,1,1,1
51896,4,5,1,2,1,2
51897,4,6,3,1,1,2
51898,1,5,2,2,1,1
51899,3,7,2,1,1,2
51900,1,6,5,1,1,2
51901,2,9,4,1,1,1
51902,2,4,1,1,1,2
51903,99,4,1,2,9,2
51904,3,3,1,2,1,1
51905,6,8,3,1,1,2
51906,1,8,4,1,2,2
51907,99,5,1,2,1,2
51908,1,6,4,2,1,2
51909,2,6,5,1,1,2
51910,99,4,2,2,1,1
51911,1,7,4,1,2,1
51912,99,5,3,2,1,2
51913,6,9,4,1,2,1
51914,99,3,1,2,1,2
51915,6,9,1,1,1,2
51916,99,4,2,2,1,2
51917,99,4,2,2,1,2
51918,2,4,1,2,1,2
51919,6,7,5,1,2,1
51920,3,8,5,1,2,1
51921,3,4,4,2,1,2
51922,99,3,2,2,1,1
51923,3,6,5,1,1,2
51924,4,6,3,2,1,2
51925,5,4,5,1,1,2
51926,99,4,4,1,1,2
51927,1,5,3,1,1,2
51928,99,3,1,2,1,2
51929,3,8,5,1,1,1
51930,99,5,1,2,1,2
51931,99,6,5,1,1,2
51932,4,4,4,1,1,2
51933,4,5,5,1,1,2
51934,1,4,2,1,1,1
51935,1,10,5,1,1,2
51936,3,8,5,1,1,1
51937,1,6,5,1,1,2
51938,4,8,5,1,1,1
51939,1,5,2,2,1,2
51940,2,5,4,2,2,1
51941,6,8,5,1,1,2
51942,6,5,3,2,1,1
51943,1,5,5,1,2,2
51944,1,8,3,1,1,2
51945,99,3,3,2,1,1
51946,1,4,1,2,3,2
51947,2,6,2,2,1,2
51948,99,3,2,2,1,1
51949,3,4,2,2,1,2
51950,2,9,3,1,1,2
51951,4,5,3,1,1,2
51952,2,6,5,1,1,2
51953,1,13,4,1,1,2
51954,4,8,3,1,1,2
51955,99,4,1,2,1,2
51956,4,4,2,2,1,2
51957,1,4,5,1,2,1
51958,99,3,3,2,9,1
51959,2,4,1,2,1,2
51960,99,2,1,2,1,2
51961,2,4,3,2,1,1
51962,99,4,1,2,1,2
51963,2,6,5,1,1,2
51964,6,10,5,1,1,1
51965,5,5,3,2,1,2
51966,99,5,1,2,9,2
51967,99,4,2,2,9,2
51968,6,3,5,2,1,2
51969,2,5,2,2,1,1
51970,1,10,4,1,1,2
51971,99,5,2,2,1,1
51972,99,3,2,2,9,2
51973,5,8,5,1,1,1
51974,4,5,5,1,1,2
51975,3,5,4,1,1,2
51976,3,8,5,1,1,2
51977,1,6,2,1,2,1
