"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq244","ind247"
51624,1,2,2,2,2,2,2,2,1,7,1.63,2,1,NA
51625,1,2,2,2,2,2,2,1,2,77,NA,3,1,NA
51626,1,2,2,2,2,2,2,2,2,6,1.52,2,NA,NA
51627,2,1,2,2,2,2,1,2,2,6,0.98,1,7,NA
51628,2,2,1,1,2,2,2,2,2,3,0.82,1,2,1
51629,1,2,1,1,2,2,2,2,2,5,0.93,1,2,1
51630,2,2,2,2,2,2,2,2,1,6,1.44,2,NA,NA
51631,1,2,2,2,2,2,2,2,2,99,NA,2,9,NA
51632,1,2,2,2,2,2,2,1,2,10,2.7,3,NA,NA
51633,2,2,1,2,2,2,2,1,2,4,1.24,1,2,1
51634,2,1,2,2,2,2,2,2,2,12,5,3,2,1
51635,2,2,1,2,1,2,2,2,1,4,1.66,2,1,NA
51636,1,2,2,2,2,2,2,2,1,6,1.36,2,2,2
51637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51638,1,2,2,2,2,2,2,2,2,9,1.35,2,NA,NA
51639,1,2,2,2,2,2,2,2,2,7,0.97,1,2,1
51640,1,2,2,2,2,1,2,2,2,10,1.85,2,2,1
51641,1,2,2,2,2,2,2,2,2,8,2.09,3,NA,NA
51642,1,2,2,2,2,2,1,2,2,99,NA,9,2,1
51643,1,1,2,2,2,2,2,2,2,7,2.36,3,NA,NA
51644,1,2,1,2,1,2,2,2,1,99,NA,9,2,1
51645,2,2,1,2,2,2,2,2,2,99,NA,9,2,1
51646,1,2,2,2,2,2,2,1,2,99,NA,3,NA,NA
51647,1,1,2,2,2,2,2,1,2,9,3.95,3,NA,NA
51648,2,2,2,2,2,2,2,2,2,2,0.55,1,2,1
51649,1,2,2,2,2,2,1,2,2,4,0.52,1,2,1
51650,1,2,2,2,2,2,2,2,2,4,0.82,1,2,1
51651,1,2,2,2,2,1,2,2,1,4,0.47,1,2,1
51652,1,2,2,2,2,2,2,2,2,7,2.29,3,2,1
51653,1,1,2,2,2,2,2,2,2,7,3.77,3,NA,NA
