"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq300","ind310","inq320"
83732,1,2,2,2,2,2,2,1,2,10,4.14,3,1,NA,1
83733,1,2,2,2,2,2,2,2,2,1,0,1,2,2,1
83734,2,2,1,2,1,2,2,2,2,6,1.81,2,2,1,1
83735,1,2,2,2,2,2,2,1,2,7,3.57,3,2,2,1
83736,1,1,2,2,2,2,2,2,2,7,1.48,2,2,1,1
83737,1,1,2,2,2,2,2,1,2,10,2.53,3,2,2,1
83738,1,1,1,2,2,1,2,2,1,6,1.18,1,2,1,2
83739,1,2,2,2,2,2,2,1,2,12,4.22,3,1,NA,1
83740,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,2
83741,1,2,2,2,2,2,2,2,1,9,2.98,3,2,1,1
83742,1,2,2,2,2,2,1,2,1,5,0.99,1,2,1,1
83743,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
83744,2,2,1,2,2,2,2,2,2,3,1.02,1,2,1,1
83745,2,2,1,1,2,2,2,2,2,4,0.79,1,2,1,3
83746,1,2,2,2,2,2,2,2,2,99,NA,3,9,NA,1
83747,2,2,2,1,2,2,1,2,2,6,1.73,2,2,1,4
83748,1,2,1,1,2,2,1,2,2,99,NA,1,2,1,1
83749,1,2,2,2,2,2,2,2,2,8,1.65,2,2,1,1
83750,2,1,2,2,2,2,2,2,2,5,2.04,3,2,1,2
83751,2,2,1,2,2,1,1,2,2,6,0.92,1,2,1,1
83752,1,2,2,2,2,2,2,2,2,12,5,3,2,5,1
83753,1,2,2,2,2,2,2,2,2,8,2.33,3,2,1,1
83754,1,1,1,1,2,1,2,2,2,6,0.89,1,2,1,1
83755,2,2,1,2,2,2,2,2,2,5,2.04,3,2,1,3
83756,1,2,2,2,2,2,2,2,2,6,1.03,1,2,1,1
83757,1,2,2,1,2,1,1,2,2,5,0.76,1,2,1,2
83758,2,2,1,2,1,2,2,1,2,9,5,3,1,NA,1
83759,1,2,2,2,2,2,2,2,1,6,1.37,2,2,1,1
