"seqn","hod050","hoq065"
93703,6,1
93704,10,1
93705,3,2
93706,NA,NA
93707,9,1
93708,4,1
93709,2,2
93710,6,1
93711,8,1
93712,4,2
93713,5,1
93714,6,1
93715,7,1
93716,7,1
93717,999,3
93718,8,2
93719,5,2
93720,3,2
93721,3,2
93722,6,2
93723,5,1
93724,5,2
93725,9,1
93726,5,1
93727,6,1
93728,6,1
93729,3,1
93730,5,2
93731,7,1
93732,4,1
93733,6,1
93734,4,1
93735,4,2
93736,5,2
93737,2,2
93738,5,1
93739,4,2
93740,5,2
93741,6,2
93742,8,1
93743,7,3
93744,9,1
93745,4,1
93746,3,2
93747,4,2
93748,4,2
93749,7,3
93750,4,1
93751,5,1
93752,7,2
93753,7,1
93754,4,2
93755,3,2
93756,NA,NA
93757,5,1
93758,5,1
93759,6,1
93760,NA,NA
93761,3,2
93762,6,1
93763,6,1
93764,5,1
93765,6,1
93766,7,1
93767,5,1
93768,5,1
93769,4,1
93770,3,2
93771,4,1
93772,4,2
93773,4,2
93774,3,1
93775,2,2
93776,8,2
93777,7,1
93778,8,1
93779,10,1
93780,6,1
93781,4,2
93782,9,1
93783,5,1
93784,11,1
93785,8,1
93786,4,2
93787,10,2
93788,5,1
93789,8,1
93790,4,2
93791,6,1
93792,1,2
93793,2,2
93794,6,1
93795,6,1
93796,4,1
93797,7,1
93798,NA,NA
93799,7,1
93800,8,1
93801,4,1
93802,7,1
93803,4,2
93804,5,2
93805,5,1
93806,6,2
93807,6,1
93808,5,1
93809,7,1
93810,NA,NA
93811,3,2
93812,9,1
93813,4,2
93814,6,1
93815,3,2
93816,3,1
93817,6,1
93818,7,1
93819,5,2
93820,4,2
93821,6,1
93822,3,2
93823,4,1
93824,NA,NA
93825,5,1
93826,7,1
93827,NA,NA
93828,6,2
93829,4,1
93830,8,2
93831,3,2
93832,7,1
93833,8,1
93834,5,2
93835,NA,NA
93836,5,2
93837,5,2
93838,NA,NA
93839,NA,NA
93840,5,1
93841,6,1
93842,4,2
93843,6,1
93844,4,2
93845,5,2
93846,4,1
93847,4,2
93848,6,1
93849,7,1
93850,12,1
93851,9,1
93852,5,2
93853,7,2
93854,3,2
93855,8,1
93856,6,2
93857,6,2
93858,5,2
93859,5,1
93860,NA,NA
93861,4,1
93862,5,2
93863,5,1
93864,4,2
93865,6,1
93866,2,2
93867,8,2
93868,4,2
93869,5,1
93870,8,1
93871,3,1
93872,NA,NA
93873,7,1
93874,4,2
93875,3,2
93876,6,2
93877,4,1
93878,3,2
93879,5,2
93880,7,2
93881,3,2
93882,7,1
93883,5,2
93884,13,1
93885,9,3
93886,4,1
93887,4,1
93888,8,1
93889,3,2
93890,10,1
93891,5,2
93892,6,1
93893,10,1
93894,3,1
93895,6,1
93896,9,2
93897,6,2
93898,7,1
93899,5,2
93900,4,1
93901,11,1
93902,5,2
93903,9,1
93904,11,1
93905,4,1
93906,7,1
93907,10,1
93908,4,2
93909,3,2
93910,NA,NA
93911,5,1
93912,NA,NA
93913,4,1
93914,11,1
93915,5,1
93916,4,2
93917,6,1
93918,5,2
93919,8,1
93920,5,1
93921,6,1
93922,4,2
93923,NA,NA
93924,3,2
93925,12,1
93926,6,1
93927,7,2
93928,4,2
93929,6,1
93930,NA,NA
93931,4,2
93932,9,1
93933,6,1
93934,6,1
93935,3,2
93936,8,1
93937,7,1
93938,7,1
93939,2,1
93940,8,1
93941,8,1
93942,8,1
93943,5,1
93944,5,2
93945,4,2
93946,2,2
93947,6,1
93948,9,3
93949,4,2
93950,4,2
93951,6,2
93952,6,2
93953,5,2
93954,7,1
93955,3,2
93956,10,1
93957,8,1
93958,5,2
93959,5,1
93960,3,2
93961,10,1
93962,10,1
93963,6,1
93964,6,1
93965,4,2
93966,11,1
93967,6,2
93968,5,2
93969,4,2
93970,5,1
93971,4,1
93972,6,1
93973,5,2
93974,7,1
93975,6,1
93976,5,2
93977,NA,NA
93978,3,2
93979,5,1
93980,2,2
93981,NA,NA
93982,4,2
93983,8,1
93984,6,2
93985,4,1
93986,6,2
93987,11,1
93988,3,1
93989,9,1
93990,6,1
93991,NA,NA
93992,4,1
93993,4,2
93994,6,2
93995,12,1
93996,4,2
93997,8,3
93998,7,1
93999,7,1
94000,7,1
94001,NA,NA
94002,4,2
94003,3,2
94004,7,2
94005,5,2
94006,4,2
94007,8,1
94008,2,2
94009,5,1
94010,7,1
94011,7,1
94012,8,2
94013,6,1
94014,9,1
94015,6,1
94016,3,1
94017,7,1
94018,5,2
94019,6,1
94020,6,3
