"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq300","ind310","inq320"
93703,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
93704,1,2,2,2,2,2,2,1,1,12,5,3,1,NA,1
93705,2,1,1,2,2,2,2,2,2,2,0.49,1,2,3,1
93706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93707,1,2,1,2,2,1,2,2,2,11,2.2,3,2,1,1
93708,2,2,2,1,1,2,2,2,2,5,1.46,2,1,NA,1
93709,2,2,1,2,2,1,2,2,2,3,0.96,1,2,1,3
93710,1,2,2,2,2,2,2,2,2,9,2.94,3,2,1,1
93711,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
93712,1,2,2,2,2,2,2,2,2,4,0.76,1,2,1,1
93713,2,2,1,2,2,2,2,2,2,7,2.99,3,2,1,1
93714,1,2,2,2,2,2,2,2,2,6,1.29,1,2,2,1
93715,2,1,1,2,1,1,1,2,2,6,0.9,1,2,1,1
93716,1,2,2,2,2,2,2,1,2,11,4.11,3,1,NA,1
93717,1,2,2,2,2,2,2,2,2,1,0,1,2,1,4
93718,1,2,1,2,2,1,2,2,1,12,5,3,2,1,1
93719,1,2,2,2,2,2,2,2,1,11,3.88,3,2,1,1
93720,1,2,2,2,2,2,2,2,2,6,1.47,2,2,1,1
93721,1,2,2,2,2,2,2,2,2,7,2.19,3,2,1,1
93722,1,2,2,2,2,2,2,2,2,5,1.69,2,2,1,1
93723,1,1,2,2,2,2,2,2,2,8,3.33,3,1,NA,1
93724,1,2,1,2,2,1,2,2,2,5,0.46,1,2,1,1
93725,1,1,2,2,2,2,2,1,2,12,5,3,1,NA,1
93726,1,2,1,2,1,2,2,2,2,4,1.48,2,2,1,1
93727,1,2,1,2,2,2,2,1,2,8,2.92,3,1,NA,1
93728,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
93729,1,2,1,2,2,1,2,2,2,3,0.87,1,2,1,1
93730,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
93731,1,2,2,1,2,2,2,2,1,11,2.86,3,1,NA,1
93732,2,2,1,2,2,2,2,2,2,3,1.13,1,2,1,1
93733,1,1,2,2,2,2,1,1,2,8,1.26,1,2,1,1
93734,1,1,2,2,2,2,2,2,1,10,3.29,3,1,NA,1
93735,2,2,2,1,2,2,2,2,2,3,0.53,1,2,1,4
93736,1,1,2,2,2,2,2,2,2,99,NA,9,2,99,1
93737,1,2,2,2,2,2,2,2,2,4,0.87,1,2,1,3
